기간,자치구,구분,합계,5년 미만,10년 미만,15년 미만,15년 이상
2013,종로구,발생건수,1274,171,144,176,727
2013,종로구,사망자수,13,1,2,1,8
2013,중구,발생건수,1442,164,175,216,809
2013,중구,사망자수,10,1,3,1,5
2013,용산구,발생건수,1391,202,173,192,711
2013,용산구,사망자수,13,4,3,1,5
2013,성동구,발생건수,1100,177,113,162,547
2013,성동구,사망자수,8,1,1,0,5
2013,광진구,발생건수,1303,217,134,211,636
2013,광진구,사망자수,10,0,3,1,5
2013,동대문구,발생건수,1970,316,246,285,968
2013,동대문구,사망자수,16,3,1,2,9
2013,중랑구,발생건수,1716,275,204,243,852
2013,중랑구,사망자수,9,2,2,1,4
2013,성북구,발생건수,1536,214,187,237,804
2013,성북구,사망자수,9,0,0,2,7
2013,강북구,발생건수,1107,174,121,165,574
2013,강북구,사망자수,10,3,0,0,7
2013,도봉구,발생건수,934,146,94,138,477
2013,도봉구,사망자수,8,0,1,1,5
2013,노원구,발생건수,1522,220,176,246,783
2013,노원구,사망자수,13,3,2,2,5
2013,은평구,발생건수,1270,197,135,185,622
2013,은평구,사망자수,10,1,1,2,2
2013,서대문구,발생건수,1081,143,107,162,607
2013,서대문구,사망자수,14,4,2,1,7
2013,마포구,발생건수,1747,254,232,274,858
2013,마포구,사망자수,23,2,2,6,12
2013,양천구,발생건수,1340,191,158,216,663
2013,양천구,사망자수,14,2,4,2,5
2013,강서구,발생건수,1715,245,219,255,867
2013,강서구,사망자수,26,6,1,4,14
2013,구로구,발생건수,1415,263,166,218,648
2013,구로구,사망자수,19,1,2,3,13
2013,금천구,발생건수,939,154,128,149,438
2013,금천구,사망자수,10,0,0,4,5
2013,영등포구,발생건수,2157,336,246,334,1058
2013,영등포구,사망자수,29,4,3,1,15
2013,동작구,발생건수,1233,193,160,210,590
2013,동작구,사망자수,11,2,0,1,8
2013,관악구,발생건수,1753,305,225,269,845
2013,관악구,사망자수,20,1,3,2,14
2013,서초구,발생건수,2055,280,229,296,1116
2013,서초구,사망자수,19,5,3,1,10
2013,강남구,발생건수,3610,511,499,589,1780
2013,강남구,사망자수,31,5,3,7,15
2013,송파구,발생건수,2473,334,294,402,1220
2013,송파구,사망자수,21,2,5,3,9
2013,강동구,발생건수,1356,179,148,233,704
2013,강동구,사망자수,12,3,3,1,4
